location	hits	keyword	geo	gprop	GTREND_QUERY	GEOUNIT_TYPE	GEOUNIT_CODE	QUERY_UID	QUERY_BASETERM
Huizen	7	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Bussum	5	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Hilversum	4	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Emmeloord	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Harderwijk	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Ermelo	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Amstelveen	2	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Kampen	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Amersfoort	2	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Schiphol	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Amsterdam	2	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Blaricum	2	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Putten	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Amsterdam-Zuidoost	2	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Purmerend	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Barneveld	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Houten	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Utrecht	1	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Hoofddorp	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Nieuwegein	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Zaandam	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Zwolle	1	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
The Hague	1	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Apeldoorn	1	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Haarlem	1	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Leeuwarden	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Alkmaar	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Enschede	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Arnhem	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Zoetermeer	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Leiden	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Eindhoven	<1	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Rotterdam	<1	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
's-Hertogenbosch	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Groningen	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Nijmegen	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Tilburg	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Nairobi	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
London	<1	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Blaricum	100	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Schiphol	76	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Amsterdam	65	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Amsterdam	62	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Amstelveen	44	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Zaandam	40	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Purmerend	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Amsterdam-Zuidoost	38	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Hoofddorp	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Haarlem	28	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Hilversum	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Almere	24	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Alkmaar	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Utrecht	18	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Lelystad	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
The Hague	15	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Leiden	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Amersfoort	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Delft	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Arnhem	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Rotterdam	9	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Apeldoorn	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Eindhoven	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
's-Hertogenbosch	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Breda	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Zwolle	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Nijmegen	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Maastricht	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Groningen	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Tilburg	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Enschede	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Antwerp	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Brussels	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Liverpool	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
London	1	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Dortmund	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Düsseldorf	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Edinburgh	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Frankfurt	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Cologne	1	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Dublin	1	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Glasgow	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Zürich	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Manchester	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Hamburg	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Berlin	1	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Munich	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Stuttgart	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Naples	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Paris	1	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Vienna	1	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Milan	1	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Rome	1	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Barcelona	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
New York	1	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Stockholm	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Tel Aviv-Yafo	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Dubai	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Madrid	<1	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Prague	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Toronto	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Bucharest	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Singapore	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Melbourne	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Sydney	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Warsaw	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Istanbul	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Los Angeles	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Buenos Aires	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Mexico City	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
Bengaluru	""	Amsterdam	world	web	Amsterdam;Aalsmeer	municipality	GM0358	8a5b778e-1175-43f4-84ef-c5ded17b7e9e	TRUE
